date,summoner_name,rank,lp,season_points,wins,losses
23/07/10,R7 Slow,135,60,0,18,25
23/07/10,WC Crazy Goose,136,60,0,28,44
23/07/10,EG Soligo,137,60,0,25,40
23/07/10,TA Dec0y,138,60,0,20,33
23/07/10,TSM Spica,139,55,0,8,5
23/07/10,CLG Solo,139,55,0,8,5
23/07/10,EG Danny,141,55,0,9,7
23/07/10,C9 k1ng,142,55,0,10,10
23/07/10,DIG Spawn,143,55,0,9,12
23/07/10,CLG Poome,144,55,0,23,35
23/07/10,AK Pancake,145,55,0,16,25
23/07/10,Pobelter,146,55,0,29,50
23/07/10,XTN Horus,147,50,0,8,6
23/07/10,BOG B3nji,148,50,0,9,8
23/07/10,AZE 5kid,149,50,0,12,14
23/07/10,BOG Inori,150,50,0,7,10
23/07/10,100X Keel,151,50,0,26,43
23/07/10,GET Warangelus,152,50,0,37,64
23/07/10,AGT Duoking1,153,45,0,6,3
23/07/10,JK Scoooped,153,45,0,6,3
23/07/10,WIN FrostForest,155,45,0,7,6
23/07/10,UCI Cinna,156,45,0,8,7
23/07/10,MU Shady,157,45,0,8,8
23/07/10,DIG FakeGod,158,45,0,10,11
23/07/10,XTN camilo,159,45,0,12,15
23/07/10,DIG eXyu,160,45,0,12,16
23/07/10,WU Kenji,161,45,0,16,25
23/07/10,Doublelift,162,45,0,19,30
23/07/10,WC Jeremy,163,45,0,17,28
23/07/10,Creamcheese,164,45,0,55,105
23/07/10,3P Dinka,165,40,0,4,0
23/07/10,TSM Huni,166,40,0,5,3
23/07/10,DIG Blue,167,40,0,7,6
23/07/10,DIG Gamsu,168,40,0,8,12
23/07/10,INF Kz,169,40,0,15,24
23/07/10,TSM Yursan,169,40,0,10,16
23/07/10,100X DARKWINGS,171,40,0,11,18
23/07/10,BAY Seranok,172,40,0,19,35
23/07/10,AOE Zamudo,173,40,0,8,16
23/07/10,WC Toasty,174,35,0,4,1
23/07/10,WC 0 n a t,175,35,0,4,3
23/07/10,100X Sniper,176,35,0,5,4
23/07/10,CLG Triple,177,35,0,7,8
23/07/10,GTC Vakin,178,35,0,8,10
23/07/10,UCI Misterdot,179,35,0,5,7
23/07/10,MU APA,180,35,0,8,12
23/07/10,EST Acce,181,35,0,39,76
23/07/10,R7 Daiky,182,35,0,9,18
23/07/10,TL Rhino,183,30,0,4,2
23/07/10,GG Violet,184,30,0,4,3
23/07/10,EG donbray,185,30,0,6,6
23/07/10,IMA shochi,185,30,0,6,6
23/07/10,RAD Lightpulse,187,30,0,11,19
23/07/10,AK Skeeto,188,30,0,13,23
23/07/10,100 BMFX,189,25,0,3,1
23/07/10,NOT Dragoon,190,25,0,4,3
23/07/10,GG Akaadian,191,25,0,5,6
23/07/10,NOT Jishuka,192,25,0,7,9
23/07/10,SN im baekho,193,25,0,8,11
23/07/10,UCI dtro18,194,25,0,13,22
23/07/10,C9 Trevor,195,25,0,8,14
23/07/10,WC Griffin,196,25,0,17,33
23/07/10,XTN Zerito,197,25,0,10,29
23/07/10,Qit0ng,198,20,0,2,0
23/07/10,EGP Faisal,199,20,0,3,2
23/07/10,TG Qwacker,200,20,0,2,2
