summoner_name,rank,lp,season_points,wins,losses
MU APA,174,35,0,8,12
100X donbray,183,30,0,6,6
RAD Lightpulse,183,30,0,11,19
IMA shochi,183,30,0,6,6
TL Rhino,183,30,0,4,2
GG Violet,183,30,0,4,3
AK Skeeto,183,30,0,13,23
NOT Dragoon,189,25,0,4,3
WC Griffin,189,25,0,17,33
DARE BMFX,189,25,0,3,1
XTN Zerito,189,25,0,10,29
UCI dtro18,189,25,0,13,22
SN im baekho,189,25,0,8,11
NOT Jishuka,189,25,0,7,9
GG Akaadian,189,25,0,5,6
MUS Getback,197,20,0,4,6
BAY Bejjaniii,197,20,0,5,6
DARE Censored,197,20,0,3,6
UCI sahori,197,20,0,3,5
BAY Dragonmin,197,20,0,5,9
IMA Trevor,197,20,0,8,15
INF Jauny,197,20,0,6,9
Qit0ng,197,20,0,2,0
EGP Faisal,197,20,0,3,2
TG Qwacker,197,20,0,2,2
EGP Perry,207,15,0,5,10
IMA Meech,207,15,0,2,7
AK Zothve,207,15,0,27,59
UCI Berik,207,15,0,2,1
SN Firetheft,207,15,0,2,3
IMA animegirl,207,15,0,3,6
AZE Aloned,207,15,0,11,19
DIG Eclipse,207,15,0,3,4
ISG seiya,207,15,0,3,5
ISG FIare,207,15,0,2,3
Sneaky,207,15,0,2,2
NR Pynt,207,15,0,3,5
TG Doxa,219,10,0,1,0
ISG Gavotto,219,10,0,2,2
RAD Bluster,219,10,0,1,1
Goldenglue,219,10,0,5,9
GET Plugo,219,10,0,2,3
C9 Fudge,219,10,0,1,0
R7 Ceo,219,10,0,3,4
ISU DrewDozer,219,10,0,1,2
CIyde,219,10,0,7,22
3P Munchy,219,10,0,2,3
WC Rhino,219,10,0,1,0
BOG Tuesday,219,10,0,1,3
WC O n a t,219,10,0,2,5
BOG dshao,219,10,0,2,2
YU Wally,219,10,0,1,1
AnDa,219,10,0,1,0
EG SkyTec,235,5,0,15,37
DARE Blossoms,235,5,0,4,10
WIN Avano,235,5,0,3,7
RAD Crimson,235,5,0,1,1
3P Lunar2,235,5,0,1,1
BAY Braine,240,0,0,2,5
MUS Kind,240,0,0,3,6
TA Nemesis9,240,0,0,2,10
MU Azog,240,0,0,9,22
MU Odd Orange,240,0,0,2,12
DARE Snow2,240,0,0,0,4
TG Cozy,240,0,0,0,1
NOT Blazze,240,0,0,1,3
WIN Saint GRIMM,240,0,0,0,9
DARE Leemo,240,0,0,3,9
WIN Mordio,240,0,0,5,14
SN Pseudo,240,0,0,0,5
BAY SophistSage,240,0,0,1,2
WIN Vex,240,0,0,8,17
AZE Straight,240,0,0,4,8
EGP Daption,240,0,0,1,6
Mash,240,0,0,0,3
100X Mist,240,0,0,0,1
EGP LEO99,240,0,0,1,4
GET Fs,240,0,0,1,9
DIG Biofrost,240,0,0,2,6
TG Links,240,0,0,0,2
C9 Winsome,240,0,0,0,3
INF Brayaron,240,0,0,4,12
XTN Tyr,240,0,0,2,8
INF SolidSnake,240,0,0,1,11
GG Iconic,240,0,0,0,2
ISG Follow,240,0,0,3,7
MU Aizo,240,0,0,1,4
ISU Tempos,240,0,0,2,5
WC Rapid,240,0,0,1,8
Min,240,0,0,0,1
3P MikeYeung,240,0,0,0,3
GET Warangelus,240,0,0,2,10
ISU Yen,240,0,0,2,9
GTC SiddyWiddy,240,0,0,0,2
